359 428 535 1617 2848
preceed 0 0 0 1 2
47 9 1 1 7 56
did 65 35 81 106 56
favor 8 15 2 20 11
ban 7 6 0 2 2
takeov 4 0 0 268 26
thought 5 8 16 6 1
tender 2 89 47 390 7
offer 39 175 65 1181 83
need 65 59 95 52 25
reform 7 7 13 6 12
includ 55 58 52 239 778
earlier 54 53 71 125 184
disclosur 2 1 4 17 1
attempt 11 4 20 66 13
nj 0 0 0 19 4
mathew 0 0 0 4 0
rinaldo 0 0 0 2 0
senior 13 14 49 48 12
republican 1 13 0 2 0
introduc 5 18 10 7 10
legisl 10 26 8 3 3
member 82 45 31 70 9
studi 56 41 10 50 8
for 701 1005 760 2303 1784
report 199 206 114 153 495
find 18 11 17 22 6
recommend 21 7 10 43 48
would 324 316 371 788 296
appoint 8 1 1 17 1
primari 7 2 6 5 45
mission 1 8 1 1 0
analyz 0 0 0 4 1
extent 5 4 6 8 6
illeg 5 1 2 4 1
assess 3 8 7 5 3
adequaci 0 0 1 2 3
exist 20 13 10 41 31
surveil 0 0 0 2 0
system 23 32 182 224 137
govern 144 135 202 149 40
oversight 0 0 0 1 0
oper 84 39 69 336 1693
advis 7 5 4 62 1
what 35 28 61 47 11
addit 30 48 25 129 108
resourc 37 4 3 114 90
civil 0 5 2 3 5
crimin 0 0 0 1 6
remedi 0 0 1 4 2
combat 5 2 2 1 0
fraud 0 0 1 1 1
improv 28 32 34 33 169
complianc 0 1 0 2 1
feder 30 24 123 180 84
bei 0 0 0 2 1
ltbeih 0 0 0 1 1
acquir 12 0 1 705 59
iveyrowton 0 0 0 2 0
associ 27 64 22 136 82
hold 36 12 74 428 102
ltd 45 2 18 437 375
nashvil 0 0 0 1 0
tennbas 0 0 0 1 0
bank 85 5 1352 598 572
firm 48 12 54 369 69
term 26 24 64 293 73
disclos 4 2 3 145 16
hr 1 4 0 8 0
ltihirf 0 0 0 1 0
reduc 37 73 63 61 121
stake 8 0 0 631 52
hal 0 0 0 3 1
roach 0 0 2 10 0
lthrsi 0 0 0 1 0
intern 60 36 118 310 185
inc 63 23 21 1427 1266
studio 0 0 0 4 0
22 28 16 41 28 169
52 4 1 4 32 62
return 23 13 25 22 80
63 1 4 3 13 38
mln 690 740 536 1512 7616
us 314 664 577 435 231
qintex 0 0 0 18 0
america 7 4 2 70 39
media 2 2 0 11 13
unit 98 56 81 630 250
under 64 151 49 276 82
deal 21 15 22 208 19
first 74 50 78 257 498
stage 5 12 8 8 12
closng 0 0 0 2 0
march 103 94 118 253 553
sell 44 28 69 527 51
900000 2 6 0 5 10
share 56 23 11 2177 1708
seven 12 35 18 40 191
each 17 19 18 201 58
total 93 161 92 252 208
will 384 326 374 1050 815
repay 13 4 8 17 10
33 11 2 4 38 83
advanc 2 23 41 34 20
also 166 127 203 495 351
complet 27 15 9 433 60
168 2 3 5 6 15
buy 29 84 114 605 43
24 24 18 8 38 154
treasuri 12 4 206 12 2
provid 23 39 72 148 41
50 71 30 20 116 134
expans 5 7 9 26 31
agreement 53 93 188 461 55
second 39 11 18 44 131
one 167 118 227 351 510
which 198 173 232 680 381
had 185 121 331 551 298
put 22 38 36 38 21
option 30 30 39 105 16
exercis 4 0 2 56 18
close 64 24 95 209 84
all 70 70 54 311 100
part 32 44 30 167 53
two 104 128 164 316 411
850 3 1 3 8 5
30day 0 0 2 3 0
call 49 30 83 85 20
nine 8 19 16 59 447
month 129 115 179 114 272
greater 8 13 31 14 16
averag 72 48 62 31 40
price 584 332 109 342 191
three 69 69 77 145 324
befor 51 22 86 91 126
date 7 17 9 58 51
anoth 11 35 48 110 39
12 36 23 22 74 311
after 135 34 165 177 281
mulford 0 0 27 0 0
reaffirm 4 0 8 6 5
g6 0 0 30 0 0
assist 18 16 114 10 1
secretari 35 47 61 29 0
david 2 4 8 21 12
back 26 25 51 52 28
pari 2 10 237 10 2
among 22 13 58 41 11
six 32 24 114 93 411
nation 87 59 233 157 84
cooper 20 29 79 32 16
foster 3 0 36 0 0
rate 47 56 807 37 149
stabil 24 12 138 3 10
around 57 49 233 48 53
level 92 78 201 24 105
testimoni 3 1 6 1 1
prepar 14 9 19 25 16
deliveri 8 60 7 21 10
senat 7 49 14 9 0
there 89 103 155 121 59
broad 3 3 11 6 5
recognit 1 4 3 1 2
further 29 39 202 90 63
substanti 5 14 27 51 57
shift 3 10 22 3 6
could 92 115 143 197 74
damag 47 44 18 19 4
growth 23 16 131 28 170
adjust 9 24 39 9 114
prospect 26 23 25 17 26
while 75 61 90 79 91
clear 6 10 34 19 8
countri 134 113 161 33 28
regard 4 5 13 20 2
refrain 2 0 9 0 0
establish 2 10 26 25 11
target 21 41 112 28 29
zone 16 1 15 0 0
rang 12 33 74 55 32
spell 2 6 1 0 1
out 61 51 88 76 33
way 36 29 38 38 6
intend 13 14 15 74 24
possibl 32 40 39 134 46
develop 86 27 54 100 113
must 22 42 41 28 7
retain 4 2 5 53 16
flexibl 2 0 11 5 11
pressur 20 11 63 13 18
effort 13 13 24 49 20
rigid 0 0 1 1 0
object 4 8 17 13 5
specifi 0 2 6 15 2
too 8 26 28 21 7
precis 0 3 7 8 6
goal 5 5 13 3 6
intervent 2 49 176 1 0
hurt 7 11 10 4 15
offici 174 217 244 130 29
react 2 0 12 4 2
accordingli 0 0 2 3 2
set 41 49 151 95 369
specif 8 8 23 15 30
currenc 4 19 565 6 37
achiev 6 5 20 9 26
counterproduct 0 0 5 0 0
comment 12 34 91 143 28
deficit 16 4 146 7 9
reiter 10 0 3 9 7
posit 29 16 32 73 52
account 18 16 76 35 173
declin 74 34 107 94 120
148 1 2 12 6 27
billion 164 82 462 218 1121
last 261 226 243 267 354
130 2 5 1 7 32
thi 204 301 389 247 300
due 47 46 56 72 156
18 89 16 17 43 146
ad 106 65 101 133 130
imbal 0 2 27 1 1
correct 2 2 12 22 31
commit 23 30 23 48 8
west 49 24 145 68 41
germani 4 8 127 23 12
japan 21 48 384 98 27
stimul 7 3 38 0 1
their 84 89 186 205 53
economi 43 6 138 8 24
cut 70 61 172 45 93
budget 43 29 88 8 13
enhanc 7 48 3 12 10
competit 21 55 22 37 39
some 102 109 167 149 86
newli 1 0 7 36 5
should 58 60 77 67 100
let 6 3 9 4 3
appreci 1 0 24 4 10
humana 0 0 0 5 4
2nd 0 0 0 0 160
qtr 4 0 0 1 1629
shr 0 0 0 4 3272
44 10 3 1 17 64
ct 63 20 3 61 5663
vs 0 30 0 0 9198
54 4 2 1 31 38
bayernverein 0 0 0 0 1
expect 111 112 227 266 541
unchang 14 21 34 6 35
dividend 1 0 0 33 948
1987 68 127 38 89 572
bayerisch 0 0 0 0 1
vereinsbank 0 0 0 0 1
ag 1 0 8 60 78
ltbvmgf 0 0 0 0 1
pay 36 17 25 97 516
an 299 282 294 889 417
13 25 25 11 60 201
mark 1 8 190 65 241
earn 17 4 11 95 814
bare 1 2 7 0 2
reach 19 41 34 78 31
record 9 57 59 38 817
manag 21 21 54 355 109
board 11 58 41 427 200
spokesman 70 42 49 206 50
maximilian 0 0 0 0 1
hackl 0 0 0 0 4
told 96 75 136 186 117
annual 39 34 19 90 163
news 41 19 31 50 43
confer 39 8 23 23 40
credit 23 65 69 89 259
especi 1 6 21 5 10
foreign 111 31 298 92 76
larg 28 33 61 28 48
cover 15 60 12 20 30
provis 3 32 7 30 165
therefor 3 5 5 6 7
unlik 6 12 30 11 8
same 24 46 37 37 101
1986 136 94 60 218 1463
group 53 31 48 825 391
net 28 11 23 80 4278
rose 69 27 58 38 200
27552 0 0 0 0 1
22273 0 0 0 0 1
previou 36 57 35 21 84
parent 1 0 0 29 90
18763 0 0 0 0 1
16158 0 0 0 0 1
interest 52 27 193 342 210
margin 5 8 11 5 44
busi 14 22 44 328 231
271 0 2 0 0 16
278 1 1 0 1 14
mortgag 0 0 2 22 45
sector 21 11 29 20 67
slightli 18 11 17 6 31
stood 1 3 16 1 13
07 0 0 1 1 3
surplu 10 20 67 3 24
risen 4 5 14 0 7
almost 4 15 20 9 18
15 32 66 76 101 436
358 0 4 0 0 8
expens 4 5 7 38 103
personnel 2 1 0 4 10
75 12 14 8 29 50
782 0 0 0 1 3
cost 58 76 21 50 263
94 8 0 1 8 27
272 0 0 0 1 10
partial 5 5 1 13 21
exclud 7 7 4 15 360
own 29 9 28 368 86
climb 4 0 3 8 8
671 0 0 0 0 3
balanc 17 16 55 34 60
sheet 0 0 6 9 36
53 1 0 16 11 58
815 0 0 0 0 4
end1986 1 0 0 3 9
end1985 0 1 1 1 5
boost 31 14 32 36 27
rise 96 45 176 18 152
11 15 17 19 46 214
volum 13 27 15 8 41
46 4 1 2 14 53
45 4 6 7 39 107
januari 70 42 97 42 146
februari 114 58 113 52 100
liven 0 0 0 0 1
up 188 133 169 284 233
despit 17 13 27 13 42
sharp 19 13 36 14 28
downturn 6 0 3 1 9
german 3 10 76 27 19
bours 0 0 0 4 9
yearago 15 5 1 1 64
period 27 63 51 52 285
gave 18 17 17 29 14
no 112 100 118 237 94
detail 19 32 13 72 25
figur 41 81 43 9 141
fed 1 1 208 8 0
bill 9 103 211 18 4
custom 14 14 85 39 28
say 140 68 256 222 80
texa 66 14 0 57 46
petroleum 177 0 1 55 56
oil 1427 39 20 118 161
ga 209 1 1 120 122
properti 23 1 0 73 124
corp 106 18 11 1140 906
issu 35 45 83 189 132
144 4 1 1 3 21
restrict 15 10 27 33 5
common 6 6 17 493 213
stock 131 58 57 803 673
joint 9 12 17 66 24
ventur 13 0 3 96 30
locat 5 2 2 27 7
oversea 10 5 20 27 22
ltnorth 1 0 0 1 0
american 35 18 25 324 157
canada 58 52 62 99 82
compani 272 31 24 1831 1340
acquisit 9 1 0 607 131
step 10 11 33 34 5
toward 16 11 27 15 6
explor 145 1 3 54 18
enterpris 4 1 5 42 36
datamag 0 0 0 0 1
ltdmag 0 0 0 0 1
1st 0 0 0 7 272
dec 2 0 0 7 135
31 17 23 24 97 854
loss 21 20 17 70 4069
92623 0 0 0 0 1
11209 0 0 0 0 1
sale 51 133 51 610 1143
93483 0 0 0 0 1
189388 0 0 0 0 1
note 21 27 85 110 992
per 133 142 26 280 582
data 13 4 26 52 65
avail 26 37 7 47 33
went 6 3 2 3 22
public 13 17 29 98 99
central 13 13 348 35 25
pennsylvania 2 0 0 14 3
ltcpsa 0 0 0 1 0
save 7 33 4 141 69
30 37 48 36 135 314
invest 47 15 51 385 238
ltpinnacl 0 0 0 1 0
co 65 19 22 576 485
pinnacl 0 0 0 1 0
incorpor 1 0 4 6 8
1985 58 57 55 44 611
gener 47 45 34 220 163
60 20 11 3 44 75
loan 43 56 33 139 217
director 12 19 18 175 53
approv 17 48 14 382 134
letter 8 15 3 151 5
intent 5 9 8 110 1
hamiltonreli 0 0 0 1 0
norristown 0 0 0 1 0
pa 0 0 0 10 0
jc 1 0 0 2 5
penney 0 0 0 5 6
declar 8 0 4 11 208
split 1 4 1 11 421
rais 120 25 41 149 156
quarterli 0 1 3 3 275
woolworth 0 0 0 22 33
plc 10 0 0 183 113
ltwlukl 0 0 0 3 2
yr 0 0 0 0 49
endjanuari 1 0 0 1 4
471p 0 0 0 0 1
377 0 0 0 0 11
fulli 5 2 10 52 18
dilut 0 0 0 33 100
422p 0 0 0 0 1
336 0 0 0 0 6
div 0 0 0 0 596
11p 0 0 0 0 2
7 1 8 4 7 20
make 44 76 67 263 137
16 21 19 19 54 175
turnov 0 0 3 26 167
183 1 1 3 0 14
stg 16 21 462 77 202
176 1 0 3 4 27
pretax 0 1 0 39 260
1153 0 0 0 1 6
813 0 0 0 1 6
tax 127 18 54 24 449
305 1 1 0 2 7
162 0 2 0 9 26
retail 2 0 3 46 41
b 1 0 0 49 57
q 0 0 0 0 2
455 0 0 0 1 8
331 1 0 0 0 4
comet 0 0 0 1 2
174 1 2 0 1 14
119 0 1 2 2 29
387 0 0 1 7 8
600000 0 5 0 7 13
incom 9 21 11 29 327
494 0 0 0 2 6
480 0 21 1 5 4
payabl 0 0 1 17 252
311 1 2 0 0 8
287 0 1 0 0 14
extraordinari 2 0 0 10 252
debit 0 0 0 0 36
160 3 2 17 10 36
291 2 2 1 0 13
women 0 0 1 3 1
expir 2 9 11 91 6
42 7 9 5 19 75
outstand 2 2 9 289 84
capit 19 6 67 188 184
ltthe 0 0 0 7 1
cash 24 51 22 366 179
remain 46 35 80 105 79
132000 0 1 0 2 3
20 43 67 23 157 314
panel 1 12 4 8 1
conserv 6 46 9 4 11
exempt 6 11 1 2 1
agricultur 7 330 1 6 6
committe 30 75 68 49 3
measur 43 30 79 12 17
farmer 5 180 0 5 2
plant 24 141 0 66 56
alfalfa 0 4 0 0 0
multiyear 0 4 0 1 0
grass 0 4 0 3 0
legum 0 4 0 0 0
between 52 127 105 122 56
1981 5 5 1 2 8
requir 16 38 55 98 60
sen 3 17 2 0 0
zorinski 0 3 0 0 0
dneb 0 3 0 0 0
restor 9 3 5 2 1
equiti 9 4 8 89 65
sodbust 0 2 0 0 0
rule 29 43 35 54 12
deni 11 6 11 18 5
farm 2 172 0 9 7
program 27 222 11 41 38
benefit 25 18 13 28 60
without 12 15 18 39 30
interrupt 0 2 0 1 1
row 8 5 2 52 2
crop 0 277 0 0 0
lead 18 16 62 36 26
ask 48 49 78 78 32
identifi 6 14 7 25 6
move 42 29 84 81 32
unfortun 0 1 1 0 0
becaus 89 86 95 107 102
potenti 13 9 16 37 12
million 4 5 4 5 15
acr 8 121 0 10 1
sod 0 1 0 0 0
buster 0 1 0 0 0
regul 8 5 20 20 12
great 1 9 7 27 28
western 20 21 23 85 23
ltgwsb 0 0 0 0 1
qtli 0 0 0 0 447
april 48 94 79 147 770
8 4 3 7 6 19
1 26 74 18 29 109
rocki 0 0 0 1 8
mount 1 0 5 5 7
undergar 0 0 0 0 3
ltrmuc 0 0 0 0 2
4th 0 0 0 0 748
32 14 8 5 13 75
1548000 0 0 0 0 3
929000 0 0 0 0 3
rev 0 0 0 0 1636
9362000 0 0 0 0 1
113 0 1 1 4 36
mth 0 0 0 0 391
82 1 2 1 13 29
17 22 14 13 57 189
2408000 0 0 0 0 2
452000 0 0 0 0 4
409 1 0 1 1 8
395 1 0 1 1 6
full 5 11 22 33 186
name 13 3 5 99 125
washington 14 13 46 22 7
ltwfsl 0 0 0 0 1
ago 35 61 16 26 76
reflect 19 16 39 17 153
19 14 16 9 32 144
threefortwo 0 0 0 1 64
reliabl 0 1 0 0 2
life 2 4 9 75 37
insur 5 3 10 107 103
ltrlifa 0 0 0 0 2
class 1 1 0 70 80
275 7 0 0 11 11
264 2 1 0 1 8
prior 4 8 1 29 589
25 38 40 47 87 224
june 24 36 30 34 129
may 68 148 89 210 413
ltwestar 0 0 0 0 2
mine 23 0 3 112 57
given 14 15 70 51 52
5900000 0 0 0 0 1
9300000 0 0 0 0 1
1053 0 0 0 1 3
1312 0 0 2 0 2
217 0 2 0 7 21
347 0 0 3 0 10
3707 0 0 0 0 1
5151 0 0 0 0 1
67 0 5 3 11 37
ltbritish 0 0 0 4 5
columbia 0 0 0 5 24
continu 69 50 81 148 171
36 16 4 3 11 79
versu 2 14 2 2 39
2940 0 0 0 0 2
791 0 0 0 0 4
2215 0 0 0 0 1
scienc 0 1 0 11 13
dynam 0 0 0 22 17
ltsidi 0 0 0 0 1
704803 0 0 0 0 1
385081 0 0 0 0 1
5669682 0 0 0 0 1
4142095 0 0 0 0 1
foot 0 0 1 15 4
miner 7 0 1 40 12
ltfte 0 0 0 2 0
merg 1 4 0 113 7
into 57 53 77 205 76
rio 6 5 0 8 0
tinto 0 0 0 4 0
sign 32 17 31 134 11
ltrio 0 0 0 1 0
tintozinc 0 0 0 4 0
time 59 67 106 150 87
asset 6 0 21 300 158
lithium 0 0 0 1 0
ferrosilicon 0 0 0 2 0
83 3 4 1 29 29
newmont 0 0 1 9 13
ltnem 0 0 0 1 2
cambridg 2 0 0 3 4
talk 25 44 60 178 19
manganes 1 0 0 2 0
sever 43 36 37 86 39
inform 15 8 9 94 21
indic 18 26 41 33 15
vote 3 13 3 142 66
propos 66 95 62 398 77
transact 8 7 48 245 17
releas 15 37 15 27 30
subject 4 7 11 186 43
dilig 0 0 0 8 0
investig 2 2 0 28 15
definit 2 13 6 87 6
negoti 24 21 18 111 17
within 28 17 55 37 25
week 146 194 176 133 56
sharehold 4 2 2 526 244
meet 103 62 145 175 110
held 15 13 30 140 39
juli 6 28 6 24 59
sugar 10 59 0 35 3
polici 42 53 208 30 19
selfdestruct 0 2 0 0 0
congressman 1 6 0 0 0
farmstat 0 1 0 0 0
jerri 0 1 0 0 3
huckabi 0 18 0 0 0
dla 0 1 0 0 0
press 21 7 19 38 14
next 46 62 70 52 59
control 12 17 46 308 38
domest 79 32 86 15 58
product 323 191 25 232 231
sweeten 0 16 0 12 0
perhap 1 4 13 1 2
corn 3 452 0 24 0
if 99 131 173 219 82
fail 6 10 14 31 7
voluntarili 1 1 0 1 0
halt 17 7 9 9 6
output 128 58 3 4 7
direct 10 9 28 24 28
where 25 26 23 37 10
reuter 46 51 28 81 33
interview 26 9 23 12 8
sugarbeet 0 1 0 0 0
grower 0 62 0 4 0
deliv 7 12 0 7 0
messag 0 3 1 0 1
louisiana 14 8 0 7 7
sugarcan 0 5 0 0 0
friday 23 8 36 50 11
soon 14 13 28 31 11
refin 72 7 0 9 12
campaign 2 9 0 2 2
urg 16 29 13 21 0
forestal 1 1 0 0 0
import 147 192 85 22 24
quota 89 18 2 1 3
short 11 11 22 17 11
ton 12 21 0 10 3
i 39 35 74 86 26
think 22 20 44 51 11
drop 66 32 68 19 52
half 31 18 31 28 155
your 2 5 5 7 0
get 28 31 19 89 18
point 16 27 95 29 26
might 23 34 45 102 22
work 41 31 30 68 37
ideal 1 1 5 1 1
id 0 3 3 0 0
like 43 55 87 58 48
freez 3 4 0 5 2
right 26 6 13 193 61
advoc 5 2 2 5 0
mean 14 17 39 16 12
65 7 11 8 40 53
stay 7 4 11 8 6
just 17 17 31 32 21
decis 22 47 26 73 38
whether 8 38 40 59 13
seek 12 16 17 219 29
until 36 27 31 77 24
number 25 35 10 74 45
known 6 10 4 22 6
late 16 31 56 46 24
feel 7 6 16 8 3
didnt 0 5 0 7 2
expand 6 25 14 46 28
probabl 22 29 16 23 16
indefinit 8 1 0 3 2
least 21 34 16 64 27
ani 59 74 73 176 59
chang 64 72 137 69 136
howev 30 61 47 69 70
much 42 40 59 38 36
depend 36 15 20 28 26
highfructos 0 1 0 0 0
syrup 0 7 0 0 0
produc 142 131 15 70 40
most 39 61 56 38 39
estim 79 153 84 57 129
captur 0 2 1 0 2
econom 50 37 199 32 20
breakthrough 0 1 0 0 0
new 136 110 187 438 283
crystallin 0 1 0 0 0
then 19 22 33 33 9
elimin 4 7 5 8 18
such 53 37 98 76 40
ae 0 3 0 0 0
staley 0 3 0 1 2
archer 0 5 0 0 0
daniel 5 13 0 1 4
midland 0 5 4 6 7
advantag 6 8 5 12 10
user 3 4 0 7 2
natur 80 4 9 35 23
selfinterest 0 1 0 0 0
preserv 2 2 8 5 0
repres 24 35 23 80 40
how 16 29 24 22 20
either 3 4 13 35 3
alloc 7 2 18 4 5
acreag 4 74 0 2 1
guidanc 0 1 0 0 0
justic 3 3 0 38 2
depart 49 229 18 103 34
determin 22 20 22 30 17
legal 2 9 4 34 15
limit 22 39 41 68 43
dont 8 20 28 23 8
know 10 8 7 20 5
go 25 29 30 72 28
rout 1 4 1 6 3
do 45 41 57 58 24
question 9 11 33 22 9
my 5 6 7 7 2
mind 7 4 3 3 0
can 47 45 87 84 43
you 2 15 25 21 10
proceed 5 9 1 32 10
support 42 60 76 47 14
build 20 8 7 33 24
fragil 0 1 1 0 0
whi 3 2 7 10 1
cane 0 5 0 0 0
beet 0 4 0 3 0
higher 62 48 36 38 168
than 112 178 139 204 196
compet 1 7 2 33 5
soybean 3 142 0 0 0
grain 0 548 0 4 2
whole 11 9 9 9 8
good 22 35 47 27 76
tri 10 14 25 42 9
stress 3 9 13 4 5
speech 11 3 11 6 6
penal 0 2 0 0 2
retroact 1 2 0 1 6
pass 1 15 8 5 4
reagan 45 36 20 8 0
administr 46 89 27 22 14
drastic 1 5 8 0 3
slash 1 3 1 0 1
so 32 37 73 40 33
head 17 12 17 26 14
steam 1 1 1 0 4
more 110 174 168 266 143
moder 4 8 22 3 4
instead 6 9 16 12 17
file 1 7 0 219 42
complaint 1 7 1 15 1
tariff 12 10 9 0 0
against 56 73 225 82 170
european 15 58 89 55 13
commun 8 44 20 86 59
ec 0 133 48 8 2
major 42 83 172 145 99
caus 27 44 32 20 30
depress 8 9 8 4 15
world 100 91 67 122 79
bangladesh 0 14 0 0 0
forecast 29 55 109 8 90
gdp 0 1 7 0 0
gross 12 1 13 3 28
grow 18 30 37 25 25
end 86 66 79 168 558
minist 140 33 122 26 1
mohammad 0 1 0 0 0
syeduzzaman 0 3 0 0 0
inflat 7 4 62 1 7
fell 72 26 62 14 97
fiscal 17 20 37 23 236
198182 0 5 0 0 0
night 22 10 5 21 5
independ 10 2 7 52 10
sourc 69 119 107 87 10
198687 7 114 6 1 31
remitt 0 1 9 0 0
expatri 1 1 1 0 0
600 3 7 4 15 12
425 0 3 3 4 12
reserv 156 33 220 43 75
endjun 0 1 1 0 0
project 53 17 5 37 69
680 1 2 0 1 3
105 1 6 9 7 62
export 159 442 105 10 27
900 2 3 5 1 5
626 0 1 0 0 2
grant 3 25 3 44 11
354 0 1 0 0 8
previous 13 13 7 145 100
liber 1 5 8 0 1
attract 8 9 9 25 3
250 3 9 16 16 30
foodgrain 0 1 0 0 0
164 0 6 0 2 21
tonn 24 920 0 6 13
1612 0 1 0 0 2
198586 8 50 1 2 25
nearli 9 14 14 13 17
1990 15 18 1 4 8
when 77 46 118 95 56
attain 2 2 0 1 4
selfsuffici 2 4 0 1 0
food 3 49 5 65 62
datametr 0 0 0 0 1
ltdmcz 0 0 0 0 1
jan 3 1 1 20 312
278780 0 0 0 0 1
442532 0 0 0 0 1
5101747 0 0 0 0 1
4293393 0 0 0 0 1
avg 0 4 0 0 663
6050968 0 0 0 0 1
3414145 0 0 0 0 1
123500 0 0 0 0 1
179000 0 0 0 0 2
sand 7 0 0 2 11
technolog 4 3 0 89 62
ltsndcf 0 0 0 0 2
nil 0 32 1 1 150
351000 0 0 0 0 1
243000 0 0 0 0 1
7050000 0 0 0 0 1
7012000 0 0 0 0 1
106780000 0 0 0 0 1
93666000 0 0 0 0 1
999000 0 0 0 0 1
563000 0 0 0 1 3
106 1 0 5 2 40
106641000 0 0 0 0 1
92986000 0 0 0 0 1
princevil 0 0 0 26 1
ltpvdc 0 0 0 5 1
air 9 29 3 103 24
ltaloha 0 0 0 2 0
aloha 0 0 0 10 0
airlin 1 0 1 114 36
jointli 1 1 6 16 0
agre 48 24 109 352 28
airway 0 0 1 5 14
entir 6 9 4 26 14
commut 0 0 0 2 2
access 3 11 3 23 6
airport 1 0 1 11 1
island 16 5 7 23 6
kauai 0 0 0 1 0
subsidiari 24 2 2 311 119
use 55 77 54 110 55
aiway 0 0 0 1 0
dudley 0 0 0 21 0
taft 0 0 0 134 2
pursu 3 1 6 24 4
broadcast 2 1 1 70 11
lttfb 0 0 0 10 0
bid 21 54 32 376 17
vice 13 8 10 40 21
narragansett 0 0 0 14 0
ltnarr 0 0 0 4 0
reject 7 24 7 112 3
yesterday 49 34 97 104 30
145 1 16 11 18 25
altern 1 12 5 86 6
confid 12 2 18 22 17
conclud 4 6 5 23 2
resolut 1 2 5 4 5
unstabl 0 0 4 1 0
situat 18 29 24 18 7
quickli 2 3 8 8 5
best 6 6 10 31 17
parti 8 5 19 48 4
fair 0 5 1 31 5
financi 18 13 81 267 206
advisor 0 0 1 29 5
goldman 1 0 0 15 3
sach 1 0 0 29 4
found 12 5 7 23 7
inadequ 1 4 1 17 1
aid 17 74 16 12 11
packag 11 13 26 26 7
350 6 6 13 11 13
incent 29 7 4 5 3
design 4 7 14 42 6
onethird 2 3 1 7 4
energi 210 2 1 58 65
marcel 2 1 0 1 0
mass 9 1 0 2 2
announc 38 42 43 261 102
